reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,200201 (USD Thousand),200202 (USD Thousand),200203 (USD Thousand),200204 (USD Thousand),200301 (USD Thousand),200302 (USD Thousand),200303 (USD Thousand),200304 (USD Thousand),200401 (USD Thousand),200402 (USD Thousand),200403 (USD Thousand),200404 (USD Thousand),200501 (USD Thousand),200502 (USD Thousand),200503 (USD Thousand),200504 (USD Thousand),200601 (USD Thousand),200602 (USD Thousand),200603 (USD Thousand),200604 (USD Thousand),200701 (USD Thousand),200702 (USD Thousand),200703 (USD Thousand),200704 (USD Thousand),200801 (USD Thousand),200802 (USD Thousand),200803 (USD Thousand),200804 (USD Thousand),200901 (USD Thousand),200902 (USD Thousand),200903 (USD Thousand),200904 (USD Thousand),201001 (USD Thousand),201002 (USD Thousand),201003 (USD Thousand),201004 (USD Thousand),201101 (USD Thousand),201102 (USD Thousand),201103 (USD Thousand),201104 (USD Thousand),201201 (USD Thousand),201202 (USD Thousand),201203 (USD Thousand),201204 (USD Thousand),201301 (USD Thousand),201302 (USD Thousand),201303 (USD Thousand),201304 (USD Thousand),201401 (USD Thousand),201402 (USD Thousand),201403 (USD Thousand),201404 (USD Thousand),201501 (USD Thousand),201502 (USD Thousand),201503 (USD Thousand),201504 (USD Thousand),201601 (USD Thousand),201602 (USD Thousand),201603 (USD Thousand),201604 (USD Thousand),201701 (USD Thousand),201702 (USD Thousand),201703 (USD Thousand),201704 (USD Thousand),201801 (USD Thousand),201802 (USD Thousand),201803 (USD Thousand),201804 (USD Thousand),201901 (USD Thousand),201902 (USD Thousand),201903 (USD Thousand),201904 (USD Thousand),202001 (USD Thousand),202002 (USD Thousand),202003 (USD Thousand),202004 (USD Thousand),202101 (USD Thousand),202102 (USD Thousand),202103 (USD Thousand),202104 (USD Thousand),202201 (USD Thousand),202202 (USD Thousand),202203 (USD Thousand),202204 (USD Thousand),202301 (USD Thousand),202302 (USD Thousand),202303 (USD Thousand),202304 (USD Thousand),202401 (USD Thousand),202402 (USD Thousand),202403 (USD Thousand),202404 (USD Thousand),202501 (USD Thousand),202502 (USD Thousand),202503 (USD Thousand),202504 (USD Thousand),202601 (USD Thousand),202602 (USD Thousand)
439956,timor leste import,626,Timor-Leste,7321,"Estufas, calderas con hogar, cocinas, incl. las que puedan utilizarse accesoriamente para calefacción central, barcacoas ""parrillas"", braseros, hornillos de gas, calientaplatos y aparatos no eléctricos simil., de uso doméstico y sus partes, de fundición, hierro o acero (exc. calderas y radiadores de calefacción central, calentadores de agua de calentamiento instantáneo o de acumulación y aparatos para cocinas industriales)",,,,,,,,,,2,,1,,4,,,,,,5,,,,4,14,6,15,36,21,13,25,19,23,28,11,23,42,28,27,39,48,14,22,55,46,16,45,51,24,46,19,29,14,35,16,40,51,28,30,68,32,32,28,34,34,16,32,27,36,39,49,44,24,52,64,53,26,30,170,28,74,53,105,57,53,559,60,60,49,102,170,90,59,117,127,56,60,152
439956,timor leste import,626,Timor-Leste,8454,"Convertidores, cucharas de colada, lingoteras y máquinas de colar ""moldear"", para metalurgia, acerías o fundiciones; sus partes (exc. máquinas para el moldeo a presión por sinterizado de polvos metálicos)",,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,,60,9,8,12,11,6,12,12,4,2,
439956,timor leste import,626,Timor-Leste,8202,"Sierras de mano, con parte operante de metal común (exc. con motor incorporado); hojas de sierra de cualquier clase, incl. las fresas sierra y las hojas sin dentar, de metal común",,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,16,6,26,14,9,15,48,27,5,12,10,16,8,2,50,15,13,13,27,6,32,35,32,12,35,5,44,8,27,11,13,24,8,67,26,6,19,41,37,16,8,31,12,37,24,5,57,21,105,22,81,25,22,85,48,47,20,120,44,59,22,64,61,93,44,310,83,81,82,32
439956,timor leste import,626,Timor-Leste,8422,"Máquinas para lavar vajilla; máquinas y aparatos para limpiar o secar botellas o demás recipientes; máquinas y aparatos para llenar, cerrar, tapar, taponar o etiquetar botellas, botes o latas, cajas, sacos ""bolsas"" o demás continentes; máquinas y aparatos de capsular botellas, tarros, tubos y continentes análogos; las demás máquinas y aparatos para empaquetar o envolver mercancías, incl. las de envolver máquinas con película termoretráctil; máquinas y aparatos para gasear bebidas; sus partes",,2,,,,,,,,1,,1,,4,58,2,6,,,1,,,5,,,,1,,2,,278,324,49,51,3,12,,7,3,4,1,4,6,213,115,3,136,8,110,115,5,1,13,2,36,38,2,18,409,634,99,44,3,686,120,126,1545,259,16,2,12,23,25,8,210,15,40,70,5,1,24,6,51,75,159,10,10,57,10,51,255,64,2951,129,1116,41,11,440
439956,timor leste import,626,Timor-Leste,4810,"Papel y cartón estucados por una o las dos caras con caolín u otras sustancias inorgánicas, incl. con aglutinante, incl. coloreados o decorados en la superficie o impresos, en bobinas ""rollos"" o en hojas de forma cuadrada o rectangular de cualquier tamaño (exc. papel y cartón con cualquier otro estucado o recubrimiento)",,,,,,,,,,,1,,,,,,,,,,,,,,,,9,,,,23,36,1,1,1,2,1,2,15,11,4,2,2,2,1,2,2,1,2,5,8,23,5,4,7,16,7,,,13,,1,144,,,3,,,,10,,,,1,,,,,30,18,58,,,,,,,56,,17,5,11,20,,10,3,17,7
439956,timor leste import,626,Timor-Leste,8462,"Máquinas herramientas, incl. prensas de forja, martilleo o troquelado para trabajar metal (exc. ​​laminadores); máquinas herramienta, incl. prensas, líneas de corte longitudinal y líneas de corte longitudinal, para trabajar metal mediante curvado, plegado, enderezamiento, aplanamiento, cizallamiento, punzonado, entallado o mordisco (exc. ​​bancos de estirado); prensas para trabajar metal o carburos metálicos (exc. ​​máquinas de las partidas 84.56 a 84.61)",,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,25,29,30,11,12,34,5,9,,4,,10,30,0,1,7,73,101,,6,17,15,27,76,4,22,18,17,42,22,19,5,1,27,1,29,35,23,7,6,21,4,4,13,21,15,31,5,13,8,15,16,27,149,190,301,12,55,35,32,118,104,180,24,25,99,141,76
439956,timor leste import,626,Timor-Leste,8484,"Juntas o empaquetaduras metaloplásticas; surtidos de juntas  o empaquetaduras de distinta composición presentados en bolsitas, sobres o envases análogos; juntas o empaquetaduras mecánicas de estanqueidad",,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,53,136,87,21,21,0,23,8,25,2,8,59,30,,3,85,183,101,16,87,35,,5,48,48,3,50,,67,51,6,5,,1,,9,1,3,2,3,5,24,5,1,7,4,3,13,30,3,20,14,111,55,15,,95,27,11,126,412,15,8,2
439956,timor leste import,626,Timor-Leste,9021,"Artículos y aparatos de ortopedia, incl. las fajas y vendajes medicoquirúrgicos y las muletas; tablillas, férulas u otros artículos y aparatos para fracturas; artículos y aparatos de prótesis; audífonos y demás aparatos que lleve la propia persona o se le implanten para compensar un defecto o incapacidad",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,3,,,1,14,16,3,4,,,0,,,1,,,1,,,1,1,,13,2,,,1,1,1,,2,21,,,1,3,1,,,,,,,2,12,1,,,242,5,1,13,55,2,4,,,,4,,,,
439956,timor leste import,626,Timor-Leste,4421,"Manufacturas de madera, n.c.o.p.",,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,4,66,24,1,6,123,3,,2,1,74,2,7,0,,9,27,2,2,2,1,1,5,3,2,1,,9,1,1,18,1,,2,3,3,1,,1,1,168,51,83,77,144,17,107,222,160,242,190,331,143,42,113,54,57,65,56,145,130,113,132,105,103,112
439956,timor leste import,626,Timor-Leste,8547,"Piezas aislantes totalmente de materia aislante o con simples piezas metálicas de ensamblado, p.ej. los casquillos roscados, embutidas en la masa, para máquinas, aparatos o instalaciones eléctricas (exc. aisladores de la partida 8546); tubos aisladores y sus piezas de unión, de metal común, aislados interiormente",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,4,91,17,4,3,9,15,4,14,23,45,7,10,33,17,9,7,9,2,15,1,10,5,3,,6,3,2,1,4,5,1,,6,2,80,12,5,,,2,7,3,2,3,,4,92,73,1,1,2,1,,2,2,8,54,2,,11,3,,7,8,,,4
