date,ln_gov_exp,ln_gdp_non,ln_imports,ln_cpi,ln_credit
2002-01-01,5.586751713918469,5.427692299136014,5.762500088048511,3.870900593639112,1.6012208377183368
2002-04-01,5.5663104784102515,5.423149552329071,5.764254689119833,3.8771143802200405,1.7105691307968063
2002-07-01,5.524130085832915,5.418131969284004,5.731819439245289,3.8894273059347517,1.8988426943952719
2002-10-01,5.457323459325184,5.412622951349151,5.661162267253674,3.907617013291515,2.127903035636733
2003-01-01,5.3606822644583225,5.4066131714652945,5.542276056757731,3.9313664471053307,2.3692473632450093
2003-04-01,5.26794320725888,5.40088783804621,5.430793307927479,3.9503685840163225,2.8834330903131247
2003-07-01,5.181267271706975,5.395468674119447,5.329409709590903,3.9648803730139486,3.399723506148675
2003-10-01,5.103184142975469,5.390359579956139,5.241226043871051,3.9750905173164073,3.848661052772951
2004-01-01,5.036479427445794,5.3951413082016275,5.175719931646008,3.9811279991057713,4.231183972867269
2004-04-01,4.958258190714372,5.3951891927905455,5.093648998497297,3.985932368659245,4.447106258226856
2004-07-01,4.865998553450954,5.403586148411088,4.999754861226603,3.9895211719844856,4.571332336314063
2004-10-01,4.7561015658423145,5.415317438509456,4.8853229558831925,3.9919073879671614,4.631603274888305
2005-01-01,4.6231990616401415,5.437329013341965,4.748945881817,3.9930995863344525,4.638573126131518
2005-04-01,4.546407551409886,5.441728790702258,4.642558629864775,3.9958026089518044,4.650995672902377
2005-07-01,4.540238425020346,5.433838776351665,4.583040745191736,4.000004243481099,4.6686700972796595
2005-10-01,4.6059647924283365,5.4138845793156785,4.579272226220413,4.005685658900271,4.691320505569788
2006-01-01,4.730851810362174,5.3901978914403,4.641728075276387,4.012821683800453,4.7186095834082735
2006-04-01,4.848640166981699,5.377795482159115,4.731819157852347,4.025391804363763,4.727366251126779
2006-07-01,4.96006854080522,5.387684617969214,4.852830993570324,4.043193500963921,4.718074703875655
2006-10-01,5.06576981136974,5.403039335604444,4.98257422879903,4.065949918080541,4.690220841345935
2007-01-01,5.166289582139774,5.438919817066747,5.128800606880825,4.093323506767622,4.642193468813098
2007-04-01,5.238949470119436,5.4774582060079124,5.2219333159569565,4.120726618237721,4.609378201623697
2007-07-01,5.288915470382112,5.506925077201723,5.2681139544340985,4.148137171910769,4.593372180526561
2007-10-01,5.319259632185855,5.524366280053494,5.271610049210479,4.175534813364006,4.594999126261759
2008-01-01,5.331677483453141,5.551031647386093,5.2473999667204225,4.20290082169658,4.61417392953669
