date,ln_gov_exp,ln_gdp_non,ln_imports,ln_cpi,ln_credit,shock_2006,shock_2009,shock_2012,shock_2016,shock_covid
2002-01-01,5.586751713918469,5.425268492947394,5.788406824841361,3.870900593639112,1.6012208377183368,0,0,0,0,0
2002-04-01,5.5663104784102515,5.423329915809062,5.765758820866503,3.877114380220041,1.7105691307968065,0,0,0,0,0
2002-07-01,5.524130085832915,5.419441450730642,5.718863384494073,3.889427305934752,1.898842694395272,0,0,0,0,0
2002-10-01,5.457323459325184,5.413580254981616,5.644119763684093,3.907617013291515,2.127903035636733,0,0,0,0,0
2003-01-01,5.3606822644583225,5.405711502504709,5.534888300022847,3.9313664471053302,2.3692473632450093,0,0,0,0,0
2003-04-01,5.26794320725888,5.399599424217,5.430267353086062,3.9503685840163225,2.8834330903131247,0,0,0,0,0
2003-07-01,5.181267271706975,5.39527672899505,5.333283703382669,3.964880373013949,3.399723506148675,0,0,0,0,0
2003-10-01,5.103184142975469,5.392766832820386,5.247548365815836,3.9750905173164073,3.848661052772951,0,0,0,0,0
2004-01-01,5.036479427445794,5.39208344036074,5.177043499334392,3.9811279991057713,4.231183972867269,0,0,0,0,0
2004-04-01,4.958258190714372,5.395927418071516,5.094854824276665,3.985932368659245,4.447106258226856,0,0,0,0,0
2004-07-01,4.865998553450954,5.404246916273682,4.99832853522451,3.9895211719844856,4.571332336314063,0,0,0,0,0
2004-10-01,4.7561015658423145,5.416931289378265,4.883662952713882,3.9919073879671614,4.631603274888305,0,0,0,0,0
2005-01-01,4.6231990616401415,5.433815908760488,4.745152721945856,3.993099586334453,4.638573126131518,0,0,0,0,0
2005-04-01,4.546407551409886,5.4396711235784565,4.640851790142497,3.995802608951805,4.650995672902377,0,0,0,0,0
2005-07-01,4.540238425020346,5.434689823970919,4.584307479038134,4.000004243481099,4.6686700972796595,0,0,0,0,0
2005-10-01,4.6059647924283365,5.418708079335786,4.584290163144252,4.005685658900271,4.691320505569788,1,0,0,0,0
2006-01-01,4.730851810362174,5.391186722215836,4.640802697524997,4.012821683800453,4.7186095834082735,1,0,0,0,0
