Response,Horizon,Impulse,10%,16%,50%,84%,90%
Gov Exp,1,Gov Exp,0.028175501554724945,0.028734050829446835,0.030910481647889884,0.0334020677955305,0.03418211234288577
Gov Exp,1,Imports,0,0,0,0,0
Gov Exp,1,N.O. GDP,0,0,0,0,0
Gov Exp,1,CPI,0,0,0,0,0
Gov Exp,1,Credit,0,0,0,0,0
Gov Exp,2,Gov Exp,0.044085306361986064,0.045226464562951846,0.04963554876333105,0.05467649958242517,0.05649043619602285
Gov Exp,2,Imports,7.641053035272543e-4,0.0017722182538979512,0.005015302731412406,0.008269596858194722,0.009192812120781792
Gov Exp,2,N.O. GDP,-0.00487571603598699,-0.003742214246732274,5.262519604107304e-5,0.003736148249300835,0.004692264061891528
Gov Exp,2,CPI,-0.0025888702791453024,-0.0014629982379215788,0.0019942301218320926,0.005535910400939162,0.006587723170488224
Gov Exp,2,Credit,-0.006032373288620125,-0.005353832228374367,-0.003010485683239617,-7.230272671006875e-4,-6.123506020061947e-5
Gov Exp,3,Gov Exp,0.05180446812766629,0.05360422492760886,0.060742861647855986,0.06927162140072747,0.07207464507044656
Gov Exp,3,Imports,-2.8305995382457683e-4,0.002050779229349742,0.00946804795218158,0.016620075642978255,0.018739822625413648
Gov Exp,3,N.O. GDP,-0.008744507672065499,-0.0063793215999850186,0.0016062735754861861,0.009179594310919513,0.011281071773172741
Gov Exp,3,CPI,-0.005649271400718084,-0.0031580513662749763,0.004120198727421875,0.011605388445094117,0.013872078545175361
Gov Exp,3,Credit,-0.013604832760770206,-0.012092270173395411,-0.006714541704930087,-0.0016613935636767092,-2.046685904264527e-4
Gov Exp,4,Gov Exp,0.05413775391919502,0.056687701647045965,0.06657672819570126,0.07854335664837596,0.08294995987617193
Gov Exp,4,Imports,-0.0035826455726614636,-3.294733368586033e-4,0.011475088454617225,0.022672492966243026,0.02585460918693264
Gov Exp,4,N.O. GDP,-0.011209198413537411,-0.007547625602688855,0.004130700839986635,0.015284124853082642,0.018536448798613454
Gov Exp,4,CPI,-0.009036158905646515,-0.005734364094121142,0.005246043504803299,0.016417792872454384,0.019809266685895083
Gov Exp,4,Credit,-0.02085369920340049,-0.018540827158127497,-0.010337908577566255,-0.002412660844712317,-1.5541000776798719e-4
Gov Exp,5,Gov Exp,0.052753319965574044,0.05597348668192884,0.06838342551714795,0.08370089131353735,0.08893386623400318
Gov Exp,5,Imports,-0.00936632050390122,-0.004857070917836154,0.010989589833724289,0.025373296657741972,0.030106494958757758
Gov Exp,5,N.O. GDP,-0.012610874809869999,-0.007793663864656354,0.0070134162188769025,0.021364464455436244,0.025633536353390208
Gov Exp,5,CPI,-0.013101630793622318,-0.008965562131030246,0.004987623817192512,0.01968200451990094,0.02414661426011551
Gov Exp,5,Credit,-0.02719913396248982,-0.023936008378022663,-0.013247017423430414,-0.002754685676809013,4.138070386797924e-4
Gov Exp,6,Gov Exp,0.048653271008711384,0.05211769179614367,0.06690694874184824,0.08522176272369827,0.09167508269521324
Gov Exp,6,Imports,-0.01691159702591541,-0.011076954364323932,0.00840220235716009,0.02599390686438991,0.031718081338868845
Gov Exp,6,N.O. GDP,-0.013650550031379782,-0.007823299783317883,0.00948527027393346,0.026851995075078662,0.0323416931744307
Gov Exp,6,CPI,-0.017894232759177606,-0.012528946646310352,0.0038173606316280074,0.021319077296029394,0.02679178309253419
Gov Exp,6,Credit,-0.031792545736705764,-0.0280156268042012,-0.014993937488663891,-0.002447825791954674,0.0012667234093449188
Gov Exp,7,Gov Exp,0.04227687323483348,0.04639527741927533,0.06274864191448781,0.08409892227091897,0.09132728280988815
Gov Exp,7,Imports,-0.024920181434119202,-0.01813318718194354,0.004415959578464507,0.02463867540485181,0.031182179167495924
Gov Exp,7,N.O. GDP,-0.014278706401457106,-0.0076523679989004625,0.011065162169077783,0.031653104218612886,0.03836569242571154
Gov Exp,7,CPI,-0.023369511435017882,-0.017319749736678894,0.0019385441621251852,0.02173470582053537,0.028198176105255556
Gov Exp,7,Credit,-0.03442697463831078,-0.029992367248502603,-0.015642495795611822,-0.001523107504735268,0.0029666845323730443
Gov Exp,8,Gov Exp,0.03424873746634885,0.038975373109559196,0.0568226952110163,0.08103689899836988,0.08934561250741839
Gov Exp,8,Imports,-0.03255879446868999,-0.02511956793580295,9.297834318174384e-5,0.022254367896716247,0.029302604891971226
Gov Exp,8,N.O. GDP,-0.015499355650937272,-0.00841312763024977,0.012171147609338228,0.0349229641544379,0.04392144284924197
Gov Exp,8,CPI,-0.028533111769764252,-0.021944690401513294,-1.2162576734964432e-4,0.021646599873831468,0.028665428842835433
Gov Exp,8,Credit,-0.03532197342965499,-0.03023936494315061,-0.01500156662946343,3.780743459517827e-4,0.0050754799604963785
Gov Exp,9,Gov Exp,0.024799601117877757,0.030419625506667804,0.04950726673100995,0.07582390585794414,0.08523748521347208
Gov Exp,9,Imports,-0.040236060105557483,-0.03145371025349389,-0.004692891428212526,0.019259597649941406,0.027248857994861077
Gov Exp,9,N.O. GDP,-0.017232034905886887,-0.009363286828659608,0.012433399116105352,0.03728462578084228,0.04668482612377895
Gov Exp,9,CPI,-0.034459707364174925,-0.026082091633246166,-0.0017955440391259378,0.021563261296553005,0.028595556372793846
Gov Exp,9,Credit,-0.03448936616018331,-0.029248976710061967,-0.013180084621945294,0.002647769842241069,0.007495274041533838
Gov Exp,10,Gov Exp,0.015381570821133218,0.02115221179092423,0.04163975752020961,0.0691841834834002,0.07999925702947533
Gov Exp,10,Imports,-0.04653417817356155,-0.03676977094879256,-0.008661140458726239,0.0161920926987596,0.02459127332111539
Gov Exp,10,N.O. GDP,-0.018781796479542215,-0.010844948901572149,0.012077320371924032,0.03828806982362184,0.04892334106339034
Gov Exp,10,CPI,-0.039071890526965386,-0.029591471356724172,-0.003200075476560404,0.020743582922171655,0.028913496518329605
Gov Exp,10,Credit,-0.03215993469999586,-0.026677263789477434,-0.010641890911964796,0.005261464736697565,0.010739211016040922
Gov Exp,11,Gov Exp,0.0058738776331090665,0.012230882608813587,0.033257167410911594,0.062421184201615215,0.07380107855699672
Gov Exp,11,Imports,-0.05220690750557522,-0.040695298765716766,-0.01199607496172562,0.013197244060298808,0.020832161180152974
Gov Exp,11,N.O. GDP,-0.02057971685838819,-0.01260466553318242,0.010732735676532004,0.03865017277803679,0.04979719385836906
Gov Exp,11,CPI,-0.04293385542511638,-0.03259762239749796,-0.004559306578745278,0.020442501130764533,0.029517679805260974
Gov Exp,11,Credit,-0.02913212076245886,-0.02352352505886235,-0.0073512488270132915,0.008580603041060793,0.01354951168117878
Gov Exp,12,Gov Exp,-0.0024792946146729774,0.003240855000712205,0.024718357832362883,0.05576780720665466,0.06771997714445402
Gov Exp,12,Imports,-0.055879488569533585,-0.04381612623941927,-0.014665809621793549,0.010041313458293517,0.017867542705084213
Gov Exp,12,N.O. GDP,-0.02359187711521445,-0.014779638799958824,0.009331057794317837,0.03837486849652464,0.049741165807567427
Gov Exp,12,CPI,-0.04606732129694868,-0.034050297236837584,-0.005159103776598563,0.020416307146001175,0.029496152020920118
Gov Exp,12,Credit,-0.02512079788200813,-0.019580107794726555,-0.0037058371351912913,0.011661594784714563,0.01649653646082372
Gov Exp,13,Gov Exp,-0.010886636463762294,-0.00407914340461357,0.017189696297862586,0.04851279098687576,0.06146002605819917
Gov Exp,13,Imports,-0.05770210668768189,-0.04616479078053892,-0.016261919070298222,0.007725518656607301,0.014901664979331939
Gov Exp,13,N.O. GDP,-0.026073600339035632,-0.017093463304011257,0.007267560473793449,0.03680828805301998,0.04981343539664749
Gov Exp,13,CPI,-0.048217435621679475,-0.035830536387967876,-0.004869197978609674,0.021200244942057647,0.02988142451143275
Gov Exp,13,Credit,-0.02086893315838319,-0.015321086530783597,-1.6745072882704947e-4,0.014695364896132091,0.01955908966774493
Gov Exp,14,Gov Exp,-0.01793640231346235,-0.010688366148129257,0.010420572360631614,0.04279071173056442,0.055458457214994
Gov Exp,14,Imports,-0.060122877123478954,-0.04753180651733082,-0.017113614266782033,0.005525502293914673,0.013041325094037649
Gov Exp,14,N.O. GDP,-0.02718097546859566,-0.01926217030061624,0.005110895702823238,0.034863145784058434,0.04887905396681454
Gov Exp,14,CPI,-0.04882834199403736,-0.036482519946785155,-0.0041345886561857375,0.021339193276066794,0.030580835601117892
Gov Exp,14,Credit,-0.016805583388096016,-0.011568021076521681,0.003259054829838719,0.017455625684248025,0.023093639502662563
Gov Exp,15,Gov Exp,-0.02375363974446484,-0.016469702729478862,0.0048938118529807525,0.03653800600876787,0.050827214041704726
Gov Exp,15,Imports,-0.060766504944180205,-0.04744857338353205,-0.017039613037024073,0.004315300694626748,0.01150997467354336
Gov Exp,15,N.O. GDP,-0.029443202597447524,-0.02079506192504396,0.003098591402326843,0.032740660497923804,0.04756417839080142
Gov Exp,15,CPI,-0.0495775486329257,-0.03564799340696904,-0.0027445171307910127,0.02225573888475855,0.0313218881301193
Gov Exp,15,Credit,-0.01348695227297566,-0.008390014357402019,0.005964772652193951,0.020476304479677448,0.026195007263388012
Gov Exp,16,Gov Exp,-0.028952404701708147,-0.021264466493560768,5.96743391610358e-4,0.03142798261271404,0.04544938713269811
Gov Exp,16,Imports,-0.061169527843818836,-0.04719302890657566,-0.016662632377925743,0.003306586240307544,0.010987429528213107
Gov Exp,16,N.O. GDP,-0.03252236934138953,-0.022659059144575496,0.0010654543708516484,0.030785949147310157,0.04650656812039106
Gov Exp,16,CPI,-0.0492227523235998,-0.03479627273206404,-0.0010637609465542234,0.023051068855239727,0.03210356060068696
Gov Exp,16,Credit,-0.010861235061218602,-0.005723992060323402,0.008160763480050038,0.02235872421894489,0.028985061314594735
Gov Exp,17,Gov Exp,-0.03262851310477855,-0.02454975095901487,-0.002139556841748077,0.02598906457683915,0.04139629354821158
Gov Exp,17,Imports,-0.06159259905511143,-0.046559904283982066,-0.015728684627127454,0.0036039918584069614,0.010975255162997842
Gov Exp,17,N.O. GDP,-0.03337198507437491,-0.02394665860658921,-6.338471856228901e-4,0.028782374403049725,0.044388307532804754
Gov Exp,17,CPI,-0.048551673007668536,-0.03313642063260759,8.922045232038562e-4,0.023918117431791827,0.03352059883774615
Gov Exp,17,Credit,-0.008708288885958237,-0.0036592399758070514,0.009699328411196131,0.024177160108981632,0.031100689716798614
Gov Exp,18,Gov Exp,-0.03575876662549861,-0.02686476444105866,-0.0037584292157240764,0.02257735529468817,0.037045939062778185
Gov Exp,18,Imports,-0.060485899240554274,-0.04487851720503174,-0.014580964448580924,0.004546732522218485,0.01196520674297623
Gov Exp,18,N.O. GDP,-0.03475416173783809,-0.0252584316856687,-0.0018095104059202398,0.02612383992856684,0.04177797995604057
Gov Exp,18,CPI,-0.046829213995564334,-0.03108513140337119,0.002536554666955719,0.02518304367901072,0.034361695676206616
Gov Exp,18,Credit,-0.007827022823402753,-0.002459155191088027,0.010459015590421526,0.025189563040177113,0.03221586278040067
Gov Exp,19,Gov Exp,-0.037486161784938306,-0.028405983674817066,-0.004799252078604925,0.020816424400194898,0.03529687136929738
Gov Exp,19,Imports,-0.05986419829682403,-0.04267138238761081,-0.013125818828114671,0.0056083270659815915,0.013282831786729348
Gov Exp,19,N.O. GDP,-0.03646188994832815,-0.02590015012017583,-0.0029802889449584095,0.02308222934486292,0.03916106037454668
Gov Exp,19,CPI,-0.045533151490816305,-0.029099188011201732,0.0041603128162598126,0.026485753317568098,0.03594855631114476
Gov Exp,19,Credit,-0.006676683247310269,-0.00168250981008291,0.010637198942520753,0.025304658906078956,0.03294104183480328
Gov Exp,20,Gov Exp,-0.038610050613815505,-0.028647337683288462,-0.0052535803330730525,0.01962473499392049,0.0332232983360351
Gov Exp,20,Imports,-0.0581919781830906,-0.041200875729732064,-0.011506995828120748,0.007065768340088485,0.014495114598566861
Gov Exp,20,N.O. GDP,-0.03699355737280025,-0.02616216436744346,-0.003919729987577501,0.020864886293207485,0.036768036487415924
Gov Exp,20,CPI,-0.044552616677576526,-0.025997676507543907,0.005735626587971347,0.02790088138078113,0.03769265740409762
Gov Exp,20,Credit,-0.006382460854409835,-0.0014870087456629953,0.010246366576345183,0.02521608511534234,0.03256792267833522
Imports,1,Gov Exp,0.0050003594094520385,0.006213916108574456,0.01020204398877558,0.014583269984989109,0.015802638321707235
Imports,1,Imports,0.03415578182496514,0.034909217605748284,0.037454150719147455,0.04038615669494396,0.04129910863580344
Imports,1,N.O. GDP,0,0,0,0,0
Imports,1,CPI,0,0,0,0,0
Imports,1,Credit,0,0,0,0,0
Imports,2,Gov Exp,0.014590556060942044,0.016912511692921385,0.023913756848215277,0.031728657194822464,0.033838221621040346
Imports,2,Imports,0.05043676373756143,0.051894032725099425,0.057306004201478425,0.06343180460088235,0.06537907963482371
Imports,2,N.O. GDP,-0.001238221397353389,2.161380511234748e-4,0.005142018651153674,0.009766790802350647,0.011141953831044254
Imports,2,CPI,-0.001596550806323155,-2.5775018867200196e-4,0.004219765017738016,0.008524887827680492,0.009787915557506292
Imports,2,Credit,-0.003783607861791596,-0.0029757006385197023,-2.4916072508453787e-5,0.0029123060259300996,0.003746623485546852
Imports,3,Gov Exp,0.02368768963613108,0.027039995268913982,0.03749136648788466,0.048573384556897234,0.05175669960145612
Imports,3,Imports,0.053414120322495644,0.05586947233260996,0.06504507259505263,0.07594392583218977,0.07970722094207888
Imports,3,N.O. GDP,-0.0017032108650727358,0.0012021776218783021,0.011562772770181959,0.021146366394660165,0.024288170187248555
Imports,3,CPI,-0.0045253172217163615,-0.0018416126513348115,0.007435977657583757,0.016476533925566045,0.019093359410894215
Imports,3,Credit,-0.009907033219250063,-0.008111500111321328,-0.0013888555175918225,0.0050865730120164395,0.007173090616147831
Imports,4,Gov Exp,0.03115214849424762,0.035151287890855136,0.04909361643035226,0.0636637742539205,0.06771433339242941
Imports,4,Imports,0.047684222984712435,0.051562525029668675,0.06436453243756263,0.08012110951707649,0.08592530321700673
Imports,4,N.O. GDP,-0.0014052238777133661,0.0029291287201789968,0.01783420887628599,0.0320427600255864,0.036812386934551904
Imports,4,CPI,-0.008904541504910884,-0.004988307381913229,0.008125406958637685,0.02148072868997808,0.025606380518701788
Imports,4,Credit,-0.016906890640333787,-0.01429155802292614,-0.003925871899204493,0.006075942961164859,0.009264159673678224
Imports,5,Gov Exp,0.036176073971252075,0.04107299767282688,0.05797465060826512,0.07556128931301372,0.08076951132632577
Imports,5,Imports,0.036946450366530756,0.041583791482968285,0.05844720614679129,0.07847654106802886,0.08576336185115295
Imports,5,N.O. GDP,-9.984675275223713e-4,0.004830175891845222,0.023304999352609206,0.041430852965484044,0.04737151182295344
Imports,5,CPI,-0.014790292792138712,-0.009796567842057492,0.006674471553638197,0.02339504488909525,0.028912790121463104
Imports,5,Credit,-0.02376435312107142,-0.020230547675672225,-0.00702661314886339,0.0061785627312566475,0.010167890658056327
Imports,6,Gov Exp,0.0385755796034719,0.044469375710111475,0.06339986001534283,0.08412111016338282,0.09009679859826424
Imports,6,Imports,0.02335473931163865,0.028774631394877626,0.04920588967675005,0.07341621596436547,0.08229836335845132
Imports,6,N.O. GDP,-8.638978212304354e-4,0.005525609836318154,0.026898943272004608,0.049271450442500406,0.056288386364558365
Imports,6,CPI,-0.022613376536676992,-0.016478500303932293,0.0033800837468731474,0.02345826908506498,0.029692833227855726
Imports,6,Credit,-0.02979559736866987,-0.025273995709015496,-0.01004187988153905,0.005585596483189382,0.010342059618860453
Imports,7,Gov Exp,0.03787204557253569,0.044191418540876624,0.06540521915023474,0.08880287338540163,0.09684673314477474
Imports,7,Imports,0.008273483992302098,0.015120296091089972,0.038556172291918,0.06636149912799626,0.07589732660737236
Imports,7,N.O. GDP,-0.0014689714835443319,0.005662058542338908,0.029166623307488947,0.05491115792132538,0.06389580580075137
Imports,7,CPI,-0.03097531708828592,-0.024153358768897855,-9.444163337259342e-4,0.022217222502549688,0.029659270419132615
Imports,7,Credit,-0.03424105048429279,-0.02908722924231123,-0.012181176832094624,0.005247065865790458,0.011211769035866955
Imports,8,Gov Exp,0.03448827794407107,0.04144237944122866,0.06436833954702811,0.09145942793636667,0.09982228356225305
Imports,8,Imports,-0.006562838403281832,0.001360678421230959,0.02798048988419239,0.05829395124822846,0.06920827416444386
Imports,8,N.O. GDP,-0.003239870839845017,0.004630405535793529,0.03042525671477333,0.05894361894999998,0.06982600552547272
Imports,8,CPI,-0.039973327853774915,-0.03186327219970813,-0.0056232135476929025,0.020679652663997076,0.02938930707516808
Imports,8,Credit,-0.03740299389336393,-0.031503334755131764,-0.013272052355866669,0.005666342499189786,0.012151314009508824
Imports,9,Gov Exp,0.02901510260368189,0.036140501935676375,0.060911074283661874,0.09087454422508176,0.10046183293265268
Imports,9,Imports,-0.02035070045772733,-0.011431329631744418,0.017422693684220877,0.050223607402755846,0.061248942483307596
Imports,9,N.O. GDP,-0.005468058746201626,0.0026056274836983064,0.02986829661294456,0.06222262983624055,0.07477582550106276
Imports,9,CPI,-0.048144284653622714,-0.03858743123872144,-0.009578570071689952,0.01933320687424049,0.028132780908119884
Imports,9,Credit,-0.03863345552591625,-0.03246215395556462,-0.012941467891663339,0.006905369796017144,0.013695817037199826
Imports,10,Gov Exp,0.021338353044967732,0.028604800813702872,0.054411471019812724,0.08758318647398675,0.09935547154458725
Imports,10,Imports,-0.03222664288918192,-0.022739126801564605,0.008513279255603043,0.04235230054854158,0.05384181562522538
Imports,10,N.O. GDP,-0.007662038742147606,0.0011723855237676284,0.02843357929350245,0.0640829396650354,0.0766642324948317
Imports,10,CPI,-0.05545460646101816,-0.044959261471908415,-0.01254658119243391,0.01808653973241508,0.02745085151273598
