date,gov_expenditure_real,gdp_non_oil_real,imports_real,cpi,private_credit
2002-01-01,266.8673487862389,227.07230544392377,326.4924501420631,47.98558213689458,4.959082965812051
2002-04-01,261.4676269717433,226.63253466635425,319.18115348523787,48.2846826141371,5.532109075487754
2002-07-01,250.6681833427522,225.75299311121526,304.55856017158726,48.88288356862217,6.678161294839157
2002-10-01,234.4690178992655,224.43368077850673,282.62467020111154,49.780185000349775,8.39723962386626
2003-01-01,212.87013064128314,222.67459766822873,253.37948357381072,50.9765869093199,10.689344062569067
2003-04-01,194.01650005157697,221.317743916826,228.21024998336603,51.954512909180345,17.87553628902309
2003-07-01,177.90812613014685,220.36311952429867,207.11696942977773,52.71396299993113,29.95581630322835
2003-10-01,164.54500887699294,219.81072449064652,190.09964191304547,53.25493718157222,46.93018410518481
2004-01-01,153.92714829211494,219.6605588158696,177.1582674331695,53.57743545410366,68.7986396948925
2004-04-01,142.34564088131782,220.50655405961098,163.18015310795138,53.83546058147511,85.37951990081905
2004-07-01,129.8004866446014,222.34871022187065,148.16529893739096,54.02901256368663,96.67282472296458
2004-10-01,116.29168558196575,225.1870273026487,132.11370492148822,54.158091400738094,102.67855416132888
2005-01-01,101.81923769341083,229.02150530194513,115.02537106024339,54.22269709262963,103.39670821591213
2005-04-01,94.29305617062448,230.3664089208855,103.63258321164804,54.36946053233479,104.68916987138113
2005-07-01,93.71314101360689,229.22173815947042,97.93534137570236,54.598381719853535,106.55593912773598
2005-10-01,100.07949222235784,225.587493017699,97.93364555240618,54.90946065518589,108.99701598497657
2006-01-01,113.39210979687746,219.4636734955721,103.62749574175957,55.302697338331875,112.01240044310305
2006-04-01,127.5668022979344,216.88547054849244,113.57175452079711,56.00224640825787,112.99756288911293
2006-07-01,142.60356972552844,217.85288417646024,127.76642188951872,57.00810786496393,111.95250332300634
2006-10-01,158.50241207965968,222.3659143794752,146.2114978479244,58.32028170845004,108.8772217447832
2007-01-01,175.26332936032827,230.42456115753768,168.90698239601417,59.9387679387162,103.77171815444355
2007-04-01,188.4720028984642,238.1332913157474,184.71092847684446,61.60398858733654,100.42168817653086
2007-07-01,198.12843269406804,245.49210485410498,193.62333609041517,63.31594365431112,98.82713181104512
2007-10-01,204.23261874713936,252.50100177260975,195.64420523672612,65.07463313963987,98.98804905798627
2008-01-01,206.78456105767813,259.159982071262,190.7735359157775,66.88005704332284,100.90443991735444
2008-04-01,212.44879161882236,265.82834026221803,196.3566182810869,68.10687045546727,102.28884425416052
2008-07-01,221.22531043057205,272.50607634547805,212.39345233265476,68.75507337607318,103.14126206840442
2008-10-01,233.11411749292753,279.19319032104204,238.88403807048084,68.82466580514054,103.4616933600863
2009-01-01,248.11521280588846,285.8896821889099,275.82837549456525,68.31564774266936,103.25013812920598
2009-04-01,259.5280345087174,292.8062616604932,299.85317966637285,68.23244808861357,103.28174350517213
2009-07-01,267.3525826014146,299.94292873579167,310.9584505859039,68.5750668429731,103.55650948798463
2009-10-01,271.5888570839797,307.29968341480514,309.14418825315823,69.34350400574797,104.0744360776435
2010-01-01,272.23685795641296,314.87652569753396,294.4103926681359,70.53775957693821,104.83552327414874
2010-04-01,270.47661512282093,321.61709123161177,288.1351335668725,72.10702464263943,107.06886624309209
2010-07-01,266.30812858320394,327.52138001703906,290.3184109493684,74.0512992028517,110.77446498447351
2010-10-01,259.73139833756187,332.5893920538153,300.96022481562306,76.37058325757494,115.95231949829302
2011-01-01,250.7464243858945,336.82112734194055,320.06057516563664,79.0648768068092,122.6024297845505
2011-04-01,245.03339272086984,341.17169802041457,332.3329306393874,81.76664350377958,129.33462494523383
2011-07-01,242.59230334248758,345.6411040892369,337.77729123687527,84.47588334848615,136.1489049803431
2011-10-01,243.42315625074818,350.22934554840816,336.39365695810085,87.19259634092887,143.04526988987817
2012-01-01,247.52595144565143,354.9364223979281,328.1820278030636,89.91678248110773,150.02371967383905
2012-04-01,246.2038352153521,358.90884087856483,313.9657060198232,92.2230772767366,156.82953211788842
2012-07-01,239.45680755985038,362.14660099031846,293.74469160837987,94.11148072781536,163.4627072220261
2012-10-01,227.28486847914584,364.6497027331883,267.51898456873306,95.5819928343441,169.92324498625243
2013-01-01,209.6880179732387,366.4181461071748,235.28858490088317,96.63461359632277,176.2111454105671
2013-04-01,199.65925929158024,369.09470591389936,216.04587123338982,97.38848313058547,180.95066017606663
