Response,Horizon,Impulse,10%,16%,50%,84%,90%
N.O. GDP,1,N.O. GDP,1,1,1,1,1
N.O. GDP,1,Gov Exp,0,0,0,0,0
N.O. GDP,1,Imports,0,0,0,0,0
N.O. GDP,1,CPI,0,0,0,0,0
N.O. GDP,1,Credit,0,0,0,0,0
N.O. GDP,2,N.O. GDP,0.9997159746586907,0.999253315279346,0.9918098373224423,0.9666371663907175,0.9552643479404882
N.O. GDP,2,Gov Exp,5.925524713163647e-5,1.6438873240394198e-4,0.001996373049505766,0.008071878433853916,0.011167569280149177
N.O. GDP,2,Imports,6.427326154716523e-5,1.6499725236765328e-4,0.0019423193737098518,0.007892881761024588,0.01049629374123868
N.O. GDP,2,CPI,8.139718465647458e-5,2.0146226464502783e-4,0.002204733942317017,0.009245165868081556,0.012269243117359432
N.O. GDP,2,Credit,7.909964797413309e-5,2.1583647123734508e-4,0.002046736312025028,0.008152907546322351,0.010802545920764513
N.O. GDP,3,N.O. GDP,0.9983827042019889,0.9970081451883224,0.9791322454475805,0.9222355462944116,0.8961645870023995
N.O. GDP,3,Gov Exp,5.892743844948968e-4,9.720523083605176e-4,0.004952711464710275,0.019352936846197027,0.025778950509186136
N.O. GDP,3,Imports,3.7821713859015864e-4,7.763931785637747e-4,0.006297195199118555,0.022594781666440474,0.029636496145644203
N.O. GDP,3,CPI,3.386586275035173e-4,6.402832560599228e-4,0.005111212698743353,0.01887864259810993,0.025138777667679035
N.O. GDP,3,Credit,3.1114564742252426e-4,6.031260686934618e-4,0.004506635189847378,0.016938092594840994,0.023281188675091158
N.O. GDP,4,N.O. GDP,0.9955927428625203,0.9925193017021389,0.9604477857138094,0.8706083010489255,0.8332257849661284
N.O. GDP,4,Gov Exp,0.001756702480998167,0.0027828856750291373,0.011158675862403489,0.034789230054685163,0.04550568429041585
N.O. GDP,4,Imports,0.0010708501127031289,0.0020060803422909655,0.01333955677882691,0.04295377313164608,0.053646552967956534
N.O. GDP,4,CPI,8.138390410197269e-4,0.001443028004284125,0.008259852676093532,0.02812940186716306,0.035464358137957265
N.O. GDP,4,Credit,7.658655027586992e-4,0.001248704276256938,0.006794128968866732,0.023519293897580184,0.032157619637541976
N.O. GDP,5,N.O. GDP,0.9911228401609191,0.9852374171465099,0.9328361356115951,0.8115803128313385,0.7688073437419812
N.O. GDP,5,Gov Exp,0.0037216964240557532,0.005694616095367714,0.022278545504402194,0.05748570437720452,0.07048030908937673
N.O. GDP,5,Imports,0.0022264543747510367,0.004177724086521327,0.023781797021691014,0.06591897323586975,0.07829993921825565
N.O. GDP,5,CPI,0.0015186508893991729,0.002619772335884521,0.01204359761241338,0.037119244316614314,0.04624294308626164
N.O. GDP,5,Credit,0.0014103581508749187,0.002270470335716537,0.009059924249898392,0.027895765238972865,0.036169464864124784
N.O. GDP,6,N.O. GDP,0.9838924165242453,0.9747759346767169,0.8964275148334386,0.7478752952538753,0.7030275313042672
N.O. GDP,6,Gov Exp,0.007140265542438719,0.010684688467232176,0.039280030849452814,0.08737520749758262,0.09986312800077249
N.O. GDP,6,Imports,0.004127584044282921,0.006984846941671332,0.0359189912343406,0.08752608133678054,0.10202909420821013
N.O. GDP,6,CPI,0.0025504995907647612,0.004054706618589938,0.016624146227888333,0.04718978062473496,0.05699544911401964
N.O. GDP,6,Credit,0.002289234298268317,0.0034998232957897425,0.011749316854879637,0.030033635287026628,0.03808479737273052
N.O. GDP,7,N.O. GDP,0.974859716133269,0.960365640794012,0.8532455853770213,0.6882948427611504,0.6431216551548695
N.O. GDP,7,Gov Exp,0.012121255703081962,0.01862665686519488,0.06299944954563043,0.11898425003654037,0.13047687742503453
N.O. GDP,7,Imports,0.0061305355368007075,0.01022487655168172,0.04736086658993021,0.10464888697346725,0.11928578755659092
N.O. GDP,7,CPI,0.003753364373380007,0.005982660700950196,0.021863441416049203,0.05612005667684252,0.06742693802167761
N.O. GDP,7,Credit,0.003135128253468317,0.004800165088161253,0.014530657071368771,0.031951963551999564,0.03968874184182735
N.O. GDP,8,N.O. GDP,0.9625169524670082,0.9434543771982945,0.8082082091951944,0.6350305841910063,0.5888772627855192
N.O. GDP,8,Gov Exp,0.019235141727891102,0.028836789728684954,0.08914220319755964,0.14973513989221526,0.16085355230366086
N.O. GDP,8,Imports,0.008738591688808863,0.013632956334186742,0.05838197626456005,0.11584954060975886,0.13224550463220716
N.O. GDP,8,CPI,0.005339123672863207,0.007907780556586317,0.027737395402385078,0.06538477774219041,0.07838929009187139
N.O. GDP,8,Credit,0.004170190443428685,0.006168096182247517,0.016530215940300772,0.033999957564829174,0.03963439018674135
N.O. GDP,9,N.O. GDP,0.9487097891550866,0.9234465931034145,0.7656029983484679,0.5896793826437546,0.5473066974085202
N.O. GDP,9,Gov Exp,0.027881797109216892,0.0420667205288883,0.11789158833688823,0.17830328120026573,0.1865935167658892
N.O. GDP,9,Imports,0.011341572909587448,0.016928100627965237,0.06462182400344339,0.1229510196761238,0.13763586364531005
N.O. GDP,9,CPI,0.006952860059928018,0.010292902034781526,0.03316975004695283,0.07387325441315794,0.08754040246431136
N.O. GDP,9,Credit,0.00511398076618094,0.0072656837049504125,0.018713839264247693,0.03519306206669783,0.04092351971596914
N.O. GDP,10,N.O. GDP,0.9319059579599253,0.9010462493300743,0.7265257450478778,0.5533031136109021,0.5125314880315855
N.O. GDP,10,Gov Exp,0.03904784399665964,0.05825304682915747,0.14736795913119524,0.2025597159966095,0.20887774782115764
N.O. GDP,10,Imports,0.014433831013419834,0.019936781267139183,0.0676179023316593,0.1265467468811096,0.1402170377569738
N.O. GDP,10,CPI,0.008488165593791676,0.012365815870274457,0.03818467857741595,0.08140633875284624,0.09699149270123246
N.O. GDP,10,Credit,0.006124201436203551,0.008398106703354594,0.020303714911851605,0.03618408475853255,0.0413822336890506
N.O. GDP,11,N.O. GDP,0.9132676878451125,0.8761123558033496,0.6891937206121519,0.5241848275428695,0.48626214199217793
N.O. GDP,11,Gov Exp,0.051367776290018125,0.07513328346933358,0.17672567187901753,0.22302782252760336,0.22836313809540232
N.O. GDP,11,Imports,0.0176300098791639,0.024333401343386046,0.06870709030539125,0.12603422789213184,0.13838727895205183
N.O. GDP,11,CPI,0.010456213840067211,0.014908524974185553,0.043570823361023026,0.08940961823711399,0.10482562350799556
N.O. GDP,11,Credit,0.007278312145638303,0.00951243440974529,0.02180269384241636,0.03734350380028115,0.042161817452372345
N.O. GDP,12,N.O. GDP,0.8946129715967248,0.8499097602577139,0.6556686656685264,0.5023464617461852,0.46642776508348677
N.O. GDP,12,Gov Exp,0.06410294626436748,0.09341243416509272,0.20257750489071952,0.24058540876155404,0.24399572575410275
N.O. GDP,12,Imports,0.020704140080058508,0.028735984142783673,0.06927473666693147,0.12365622799871254,0.13570181745336926
N.O. GDP,12,CPI,0.012131723286594306,0.01701474767886338,0.049533485570629865,0.09592406798484006,0.11147086003176558
N.O. GDP,12,Credit,0.008448218772254925,0.010927073755546324,0.02294560720319276,0.037487833508708115,0.04240383167727564
N.O. GDP,13,N.O. GDP,0.8761897030054696,0.8251630512565361,0.6284246713033402,0.48415780741927383,0.4511983364558137
N.O. GDP,13,Gov Exp,0.0749957873812617,0.10952620210668411,0.22455184561783714,0.25447821127256587,0.25653223019546045
N.O. GDP,13,Imports,0.02499476466725642,0.03343146159574862,0.06863402858669454,0.1195450534355185,0.13150890034750562
N.O. GDP,13,CPI,0.014337236954322128,0.019671099619764817,0.05457015138617714,0.1036588581678421,0.11806453168746905
N.O. GDP,13,Credit,0.009482507991690097,0.012208185421266391,0.023819303105950932,0.03816006970479969,0.04269600131375109
N.O. GDP,14,N.O. GDP,0.8584600336939293,0.8025898266310512,0.6032007478076226,0.47003871798362806,0.43912252944436314
N.O. GDP,14,Gov Exp,0.08339812610822551,0.1230102087174298,0.24150224178147967,0.26601776778349906,0.2636937461327047
N.O. GDP,14,Imports,0.03037707190747896,0.03829942493298955,0.07078725831768602,0.11562888300204288,0.12809070135536452
N.O. GDP,14,CPI,0.01712320281328597,0.022757303086294756,0.06027026040500365,0.10968739133599006,0.12601549364598555
N.O. GDP,14,Credit,0.010641565477080147,0.013343236632234743,0.024239491688208097,0.03862723989483993,0.04307752942158205
N.O. GDP,15,N.O. GDP,0.83968519250422,0.779630093397497,0.5812933743272705,0.45825274067948096,0.42804142911129606
N.O. GDP,15,Gov Exp,0.09248121112811675,0.1365692330125864,0.2554259236862069,0.2738692366111022,0.27114073290478746
N.O. GDP,15,Imports,0.036060720487138286,0.04373539822278727,0.07333526898919931,0.11078629910574259,0.12488219708364212
N.O. GDP,15,CPI,0.01992525535931272,0.025814557320053336,0.06518527582221348,0.11808499850750669,0.13212773398367234
N.O. GDP,15,Credit,0.011847620521212169,0.014250718047076014,0.024760157175109872,0.039006725096167545,0.04380790691660199
N.O. GDP,16,N.O. GDP,0.8220520301824831,0.7601645865880539,0.5631089158004003,0.44789190520721506,0.41996399603286655
N.O. GDP,16,Gov Exp,0.09907554720934189,0.14648295836049768,0.2625426869536976,0.27814164770155003,0.2753426890285268
N.O. GDP,16,Imports,0.04246826218415855,0.04877144488639947,0.07759404990120196,0.10924655771006919,0.12278696173527745
N.O. GDP,16,CPI,0.023228421670484944,0.02940854537984435,0.07145922288968308,0.12510095511017244,0.13799450174431327
N.O. GDP,16,Credit,0.01317573875353151,0.015172464785204641,0.025295124455016974,0.039618934270993306,0.04391185145901596
N.O. GDP,17,N.O. GDP,0.8065003673559923,0.7451905133616664,0.5456416762462665,0.437937698295453,0.4136567957161379
N.O. GDP,17,Gov Exp,0.10626924038215382,0.15188996890970125,0.26962807405566025,0.28070606266765985,0.2757830704255138
N.O. GDP,17,Imports,0.04755468493976137,0.05378962325710175,0.080189484276088685,0.10881223685306284,0.12173453472868973
N.O. GDP,17,CPI,0.02576091055198175,0.03275789598080955,0.07836569835201514,0.13265911797308477,0.14395465013713635
N.O. GDP,17,Credit,0.013914796770110835,0.016371998490720924,0.026175067069969582,0.03988488421073964,0.044870948992522225
N.O. GDP,18,N.O. GDP,0.7892476845813731,0.7312110186052928,0.5299861551115935,0.42994234558505146,0.4068068536824637
N.O. GDP,18,Gov Exp,0.11548414071616822,0.15656562747194266,0.27407470500392805,0.2807227221431944,0.2741757484417957
N.O. GDP,18,Imports,0.051939520170388984,0.058714194612324945,0.08361499256479431,0.10856293554994875,0.12236079021770963
N.O. GDP,18,CPI,0.028559530760462297,0.03638012621757064,0.08499392698911161,0.14058137879515312,0.15065176283476261
N.O. GDP,18,Credit,0.014769123771607435,0.017129033092868853,0.027330220330572468,0.04019061792665236,0.046004844823268325
N.O. GDP,19,N.O. GDP,0.7792200219792862,0.7175779284703451,0.5199571392919531,0.4241288963198229,0.4006730114345184
N.O. GDP,19,Gov Exp,0.11600920439400318,0.1613438642500399,0.2735120717104241,0.27813265477752813,0.2730794309610872
N.O. GDP,19,Imports,0.056824556321045355,0.06271938351878222,0.08647803016698703,0.11001194146520686,0.12250520523511832
N.O. GDP,19,CPI,0.03260194123553272,0.0402678621471232,0.09192490770959348,0.1467754090439074,0.15692961433575092
N.O. GDP,19,Credit,0.01534427607013244,0.018090961613709555,0.028127851121042376,0.04095109839353473,0.0468127380335251
N.O. GDP,20,N.O. GDP,0.7655595597780231,0.707950788272081,0.5107225280947586,0.41846995470519965,0.3961492961263613
N.O. GDP,20,Gov Exp,0.12200797313208821,0.1630022595325309,0.2718700722935163,0.2751941292640618,0.2701847849441333
N.O. GDP,20,Imports,0.05965141995463376,0.06539020370843772,0.09014718196870886,0.11118245473777312,0.1228150162355754
