Response,Horizon,Impulse,10%,16%,50%,84%,90%
Gov Exp,1,Gov Exp,1,1,1,1,1
Gov Exp,1,Imports,0,0,0,0,0
Gov Exp,1,N.O. GDP,0,0,0,0,0
Gov Exp,1,CPI,0,0,0,0,0
Gov Exp,1,Credit,0,0,0,0,0
Gov Exp,2,Gov Exp,0.9991589532590618,0.9980917470074314,0.9857894923370477,0.9560264181010961,0.9439387489659374
Gov Exp,2,Imports,5.74166842287857e-4,0.0012339245018056983,0.007724913799399291,0.01988510633943856,0.024243181450275545
Gov Exp,2,N.O. GDP,6.990143520764184e-5,1.6221007548737347e-4,0.001862789015132804,0.007598197788678796,0.010342838143786266
Gov Exp,2,CPI,7.26906221105925e-5,1.8772631043897266e-4,0.0021690164514779416,0.008840049924243299,0.011665065277961933
Gov Exp,2,Credit,1.2428784133213539e-4,3.243921048365659e-4,0.002453788396942208,0.007650227846543151,0.009810166162038775
Gov Exp,3,Gov Exp,0.9977755234127749,0.995334239087164,0.9656956263105422,0.8959724139955748,0.8698333221947677
Gov Exp,3,Imports,0.0012041758701794346,0.002466199367000535,0.01693914656153892,0.043591006628400736,0.053216160188976215
Gov Exp,3,N.O. GDP,3.04322057436487e-4,5.938638992521995e-4,0.0047362699030892635,0.019373951581630838,0.024904075968317844
Gov Exp,3,CPI,2.741160957839642e-4,5.879626519141203e-4,0.005247814081664588,0.02031583507634168,0.026225331139971435
Gov Exp,3,Credit,4.4186256382524686e-4,0.0010177349946691085,0.007381143143164951,0.02074679271805196,0.02582111050796688
Gov Exp,4,Gov Exp,0.9957809534812357,0.992078315262368,0.9466209237334271,0.8421196175124728,0.803442904246666
Gov Exp,4,Imports,0.0019918120582459427,0.003550080680414727,0.023064739815882092,0.06104911738762832,0.07401666920798873
Gov Exp,4,N.O. GDP,7.692535224897082e-4,0.0013283187573106976,0.008554881944425415,0.03221759737655072,0.04172055681225584
Gov Exp,4,CPI,6.253645108348296e-4,0.0011554993526864277,0.00849133726300943,0.030071950551018613,0.0382286970135913
Gov Exp,4,Credit,8.326164271938427e-4,0.0018877859472200328,0.01326811724325607,0.034541717172329615,0.042591172719498145
Gov Exp,5,Gov Exp,0.9927707729552953,0.9874742502009205,0.9285904694060213,0.7965322111424809,0.7499420288834654
Gov Exp,5,Imports,0.003320771535209912,0.005198694772847991,0.026516977151945918,0.07043411731921845,0.08576423060664588
Gov Exp,5,N.O. GDP,0.001402708599315624,0.0024392956218521203,0.013797303398335032,0.045725374414134184,0.058532854845249144
Gov Exp,5,CPI,0.0011383736009239304,0.0019463444057740032,0.011677154248267969,0.03904561500548933,0.047766457885929335
Gov Exp,5,Credit,0.0013673733092552391,0.0029414149986053783,0.01941809579542982,0.048262682118677055,0.05799442777871025
Gov Exp,6,Gov Exp,0.9884255397270826,0.9814054918887147,0.9113866515848614,0.7566704854236858,0.704111871900271
Gov Exp,6,Imports,0.0053546345944830214,0.007698221378346408,0.028762924336742598,0.07523370039973618,0.09285850755407016
Gov Exp,6,N.O. GDP,0.0023373333800253988,0.0036795441522804286,0.019596208503139013,0.06161991065990635,0.07663718346299543
Gov Exp,6,CPI,0.001822812875015336,0.0031327289325911037,0.01548618951984118,0.04613124442116506,0.056123261676708794
Gov Exp,6,Credit,0.0020596794233937047,0.004084013648067435,0.024768026055415875,0.060344659095506674,0.07026917540595455
Gov Exp,7,Gov Exp,0.9833448709128245,0.9734961454582328,0.8912540502382653,0.7209485573525802,0.6653711702039029
Gov Exp,7,Imports,0.007574459937130433,0.011159607036381936,0.0336105459596283,0.07928582428588639,0.09732704890654434
Gov Exp,7,N.O. GDP,0.003293253122745068,0.005519375861789171,0.02611863091283579,0.07659206790759882,0.09113699802550233
Gov Exp,7,CPI,0.0029057748083090055,0.004450564437568447,0.019460113720238155,0.05334565057375497,0.06574459905673231
Gov Exp,7,Credit,0.00288164121899092,0.005374307206027661,0.029556659169032422,0.06982789988017953,0.08042018380731815
Gov Exp,8,Gov Exp,0.9764639113469427,0.9640966078822966,0.8681606780606208,0.6881150386650622,0.6324054854427407
